Medinc	Unemp	Metro
61937	3.9	1
49881	3.9	1
59338	3.6	0
57588	3.6	1
34382	5.2	1
46064	4	0
50412	3.5	0
29267	4.7	1
37365	4.8	0
45400	4.7	0
39917	3.9	1
42132	3.6	0
47547	3.6	0
39907	5.5	0
40741	7.5	0
39201	3.9	0
46495	4.2	1
55122	3.9	0
49055	4.6	0
32613	5.2	0
42423	4.2	0
40203	4.6	0
39057	4.1	0
45796	3.3	0
45309	4.2	0
34035	6.5	1
39491	3.8	0
60367	3.4	1
38418	4.6	0
44903	4.1	0
39254	4.1	1
39388	3.7	0
37823	3.9	1
28524	6.7	1
34724	5.1	1
46027	4.4	0
47993	4	1
41929	4.1	0
55013	3.7	1
40936	3.8	1
48707	4.2	1
43909	4.2	1
48937	3.6	1
64863	3.5	0
33973	7.3	1
32495	5.5	0
63755	3.5	0
37733	5	0
37887	4.1	1
46233	3.4	0
43598	4.7	1
39556	6.2	1
49640	4	0
52797	3.5	1
26814	6.5	0
37586	4.6	0
37259	4.5	1
40546	4	1
39104	4	1
57284	3.5	0
75663	2.9	0
27859	5.9	0
41630	4.3	1
42205	4.2	1
52557	3.7	0
45434	4.2	0
44424	5.8	0
41156	4.2	0
74912	6.6	0
70081	3	1
82633	3.5	0
82113	5.5	0
44304	12.8	0
77257	6.3	0
75477	7.8	1
54524	8.2	0
74268	5.8	0
58943	9.5	0
51188	12.6	0
79173	4.4	0
65439	7.7	0
68309	6	0
74109	5.8	0
32728	19.9	1
49403	11.6	0
74649	7.6	0
55318	11.6	0
89276	7	0
59337	14.2	0
49356	10.9	0
74635	9.8	0
63527	9.6	0
57832	7	0
38912	15.3	0
59079	4.8	1
33652	10.1	1
49164	5.6	0
60187	5.5	0
43585	5.9	0
50157	5.1	0
65818	4.3	1
37350	6.2	1
65234	4.1	0
45129	5.8	1
40650	7.8	1
53395	4.5	0
58848	5	1
40545	9.3	1
44116	17	0
47094	3.7	0
43887	3.4	0
41127	5.5	1
39686	4.1	0
68978	2.9	0
44482	3.5	0
37729	4.5	0
44969	3.9	0
45023	3.2	0
31787	6.9	0
45408	3.8	0
37687	4.4	1
44902	4.5	0
47600	3.9	0
40909	4.8	1
44565	4.4	1
45615	3.1	1
47363	3.6	0
42606	4.3	0
41214	4.2	0
37259	4.4	0
36132	4.5	1
42494	5	0
53882	3.3	0
43696	3.6	1
35630	4	1
43610	4	0
52050	3.1	0
46512	3.5	0
38682	3.6	0
47205	3.8	0
40199	3.5	0
45596	4.1	0
37828	5.5	1
36573	6.2	0
38596	5.3	0
39381	4.5	0
35527	5.2	0
40308	3.9	1
28080	4.8	1
44951	4.3	0
43559	5.3	1
41471	4	1
56651	3.2	0
42674	2.9	1
36581	4.1	0
42162	4.8	0
36718	5.7	0
32922	4.3	0
38318	4.8	0
37626	3.5	0
36078	3.4	1
37624	4.7	0
45342	4.2	0
29945	6.1	1
41534	4.2	0
37370	3.8	0
39048	4.2	0
45788	4.5	1
43245	3.9	0
49957	3.5	0
37799	4	1
33257	5.2	0
63677	3.1	0
35826	3.7	1
31659	4.3	0
46843	3.6	0
44100	4.7	0
36032	4.8	0
34009	4.5	0
45335	5.6	1
40486	5.3	0
50893	2.6	0
44811	4.4	0
41729	4.2	1
75250	4.2	0
101744	3	0
55384	4.6	1
58515	4	0
50945	5	0
62984	4	1
57249	12.9	0
101463	3.2	1
48518	5.5	1
81869	3.6	0
52318	7.5	0
47365	6.5	1
49471	3.6	0
46633	18.1	1
53793	3.9	1
51586	8	0
58255	7.7	0
45086	5.2	1
57705	4.8	1
67986	4.7	1
53632	7	0
122933	2.4	0
51402	5.3	1
51386	3.9	0
56169	8.3	0
45227	7.5	1
66499	3.8	1
69665	6.3	0
85624	2.9	1
66681	3.5	1
89373	2.9	0
89175	3.2	1
55079	7.5	1
66793	4.4	1
69475	3.8	1
80063	5.1	1
63310	4	1
78777	3.3	1
110601	2.4	1
63567	6	1
70626	2.9	1
122930	2.2	1
75646	3.9	1
125933	2.6	1
84213	4.9	0
53908	4.9	0
52308	6	1
47560	6.7	1
82808	3.9	1
81002	2.7	1
59616	6.4	0
57879	7.5	0
47572	5.7	1
40680	5.7	0
48763	9.6	1
56500	4.6	1
84170	3.8	1
47504	6.4	1
71949	3.3	0
70199	3.5	1
42897	4.2	0
76665	3.2	0
53337	3.4	0
38294	1.8	1
37659	3.2	1
83591	2.8	0
96924	2.9	0
56168	2.7	1
54504	1.8	0
74019	3	0
38777	4.4	0
31557	4.3	0
35880	4.4	0
55242	3.7	1
46786	3.9	0
68069	3.2	1
47482	2.8	0
120670	2.9	1
86896	2.7	1
98247	2.8	0
67923	3.9	0
47885	5.2	1
74421	3.2	0
72949	2.5	0
69214	2.7	0
61268	2.6	0
62149	2.6	0
38242	6.5	1
51457	2.6	0
85550	3	0
44704	1.8	0
48342	2	0
51802	2.6	1
66219	3	0
71306	2.8	0
41485	4.7	0
46690	2.4	1
53168	2.9	0
51132	4.1	0
60210	2.6	0
59500	3.7	0
50180	4.7	0
52576	3.7	0
55387	2.9	0
40064	5	1
68900	3.5	0
72121	2.9	0
52367	1.9	0
89034	3.8	1
42455	3.3	0
48308	4.9	0
63411	4.4	0
44171	4.8	0
81033	2.7	0
36869	4.6	0
46878	3.1	0
69458	3.5	0
40009	2.6	1
80078	2.2	0
64850	3.7	1
47869	2.4	0
53253	2	1
76366	4.1	1
91183	4	0
73037	4.2	1
76304	3.8	1
88709	3.5	1
67720	4.4	1
67790	4	1
65182	4.5	1
65467	3.8	1
54980	4.1	1
59821	3.7	1
82533	5.6	1
55433	3.6	1
51026	3.3	1
52804	3.4	0
51777	4	1
45075	3.3	1
57612	3.5	0
57200	3.4	1
38323	4.1	1
52724	4	1
41556	5.2	1
62835	3.3	0
70649	3.4	0
46195	3.7	0
37233	3.8	1
37148	4.2	1
55733	3.6	1
50644	3.5	0
58975	4	1
40297	3.5	1
42259	4.6	0
42186	3.8	1
38680	4	0
45426	4.4	0
36299	4.2	0
39169	5.3	1
44391	6.1	1
45884	4.5	1
39994	4.8	0
58361	3.4	1
38040	4	0
58228	4.3	1
39545	4	0
46332	3.7	1
42689	3.2	1
52447	3.5	1
56343	3.4	0
51046	3.3	0
39037	3.8	0
40814	3.8	1
38249	3.9	1
59587	3.4	1
44517	4.3	1
61592	3.5	0
52043	3.9	1
67094	2.6	1
66898	3.2	0
62779	2.9	1
42258	3.7	1
58037	3.2	1
50473	3.6	1
61735	3.6	1
53788	3.8	1
52226	3.3	0
51354	4.1	1
39578	4.8	1
81925	2.9	1
53377	4.4	1
69541	3.3	1
61652	3.4	1
67187	3.2	0
55324	5.1	0
38525	3.7	0
42307	3.8	1
45906	3.4	1
50285	3.7	1
58203	3.1	0
39225	3.8	0
58634	3.9	0
42781	4.3	0
36779	3.5	1
38775	3.8	0
38288	5.1	0
42727	5	1
55384	3.1	1
61413	3.3	0
57409	3.8	0
35020	5.9	1
39412	4.2	0
41390	4.5	1
46019	5.7	1
41874	4.5	1
36354	3.9	0
79658	3.4	1
43766	4.2	1
42785	6	0
48831	4	0
33393	4.3	0
56555	4.2	1
35841	3.4	1
52502	4	0
55807	3.4	1
40499	4.3	1
54165	3.7	0
46869	5.6	1
39513	4.1	1
82733	3.1	0
42112	4	1
30239	7.7	0
46059	4.9	1
37593	4.6	0
78603	3.4	0
39480	4.5	1
38633	3.8	0
82184	3.5	1
38827	3.8	1
70974	3.4	0
48004	4.2	1
36096	4.9	1
48779	3.6	0
68835	3.3	1
38441	4.7	0
63477	4	0
35636	5.2	1
37278	4.6	1
38806	5.1	0
60512	4.1	1
34984	4.6	1
38667	3.2	0
65793	3.3	0
39681	4.8	0
37574	5.9	0
37319	3.7	1
43439	3.9	1
95021	3.5	1
44906	4.3	0
105921	3.1	1
42904	3.8	0
70808	4	0
47757	4.2	1
42820	4.2	0
53906	3.7	0
49101	3.8	0
41002	3.9	1
54016	4.2	0
72008	3.5	1
51829	3.7	0
61631	3.2	1
31716	6	1
47662	3.9	0
74686	3.4	1
47171	3.6	1
46218	3.9	1
72970	4.1	0
60728	4	0
38156	5.6	1
68984	3	0
51241	3.5	0
37211	4.9	0
38274	5.3	0
31419	5.4	1
34849	4	1
55737	3.7	1
48323	4.6	0
41564	4.4	1
42114	4.8	1
66090	3.6	1
47685	4.3	1
46967	5	1
46428	4	0
41820	4.1	1
55583	3.6	1
42768	5.6	0
42513	4	1
32868	6.2	1
51338	3.5	1
