Name	Elevation	Type	Eruptions
Banda_Api	640	Caldera	1
Macauley_Island	238	Caldera	0
Grimsvotn	1725	Caldera	1
Pago	742	Caldera	1
Deception	576	Caldera	1
Yellowstone	2805	Caldera	0
Novarupta	841	Caldera	1
Narugo	462	Caldera	1
Batur	1717	Caldera	1
Chaiten	962	Caldera	0
Aniakchak	1341	Caldera	0
Kuwae	-2	Caldera	1
Kikai	717	Caldera	0
Campi_Flegrei	458	Caldera	1
Quilotoa	3914	Caldera	0
Vsevidof	2149	Stratovolcano	1
Bulusan	1565	Stratovolcano	2
Rinjani	3726	Stratovolcano	1
Bandai	1819	Stratovolcano	1
Oraefajokull	2119	Stratovolcano	0
Kadovar	365	Stratovolcano	0
E-san	618	Stratovolcano	0
Pico	2351	Stratovolcano	0
Villarrica	2847	Stratovolcano	4
Kuchinoerabu-jima	649	Stratovolcano	1
Aoga-shima	423	Stratovolcano	0
Kieyo	2175	Stratovolcano	0
Tate-yama	2621	Stratovolcano	2
Maderas	1394	Stratovolcano	1
Cosiguina	872	Stratovolcano	1
